nome;idade;cpf;rg;data_nasc;sexo;signo;mae;pai;email;senha;cep;endereco;numero;bairro;cidade;estado;telefone_fixo;celular;altura;peso;tipo_sanguineo;cor
Adriana Kamilly Betina Corte Real;12;125.003.490-63;39.550.005-9;17/06/2012;Feminino;Gemeos;Fabiana Aparecida;Gustavo Marcos Corte Real;adriana_kamilly_cortereal@lojascentrodamoda.com.br;P3lxBUBO5s;77814-190;Rua Papoula;942;Jardim Garavelo Sul;Araguaina;TO;(63) 2595-8349;(63) 99560-1316;1,57;75;A+;roxo
Agatha Milena Rita Galvao;79;582.108.932-89;13.224.457-3;22/08/1945;Feminino;Leao;Stella Patricia;Isaac Giovanni Galvao;agatha-galvao88@gtx.ag;w20slDFSjr;54310-170;Praca do Mercado Publico;897;Prazeres;Jaboatao dos Guararapes;PE;(81) 2502-9572;(81) 98601-6530;1,78;72;O+;azul
Alana Andreia Moraes;63;199.386.500-40;47.182.416-1;19/04/1961;Feminino;aries;Sara Mariane;Manuel Raimundo Thomas Moraes;alanaandreiamoraes@dkcarmo.com;ANL41wjPNp;89254-258;Rua Francisco Pinheiro;913;Tres Rios do Sul;Jaragua do Sul;SC;(47) 3649-1257;(47) 98822-2454;1,75;72;A+;preto
Alana Laura Monteiro;41;904.709.866-89;27.932.890-4;18/08/1983;Feminino;Leao;Sophie Nina;Breno Vicente Monteiro;alana_laura_monteiro@raioazul.com.br;5iBB9ECoBK;76873-058;Alameda Canario;845;Setor 02;Ariquemes;RO;(69) 2601-0786;(69) 99382-6205;1,53;86;B-;amarelo
Alana Renata Carvalho;35;517.951.091-06;40.933.976-3;21/04/1989;Feminino;Touro;Daniela Ana Vitoria;Renato Joaquim Carvalho;alanarenatacarvalho@pronta.com.br;OggaUlIms3;69918-032;Rua 7;215;Conjunto Mascarenha de Moraes;Rio Branco;AC;(68) 2824-2573;(68) 99952-7142;1,7;72;B-;vermelho
Alessandra Isabella Lima;32;041.349.779-83;44.075.526-8;09/09/1992;Feminino;Virgem;Isis Lais;Jorge Ruan Lima;alessandraisabellalima@directnet.com;PgKFUobzqz;69911-784;Avenida Fares Fegali;617;Boa Uniao;Rio Branco;AC;(68) 2894-3524;(68) 99223-1668;1,72;78;O-;vermelho
Alice Carla Pietra Corte Real;74;111.834.976-87;30.490.027-8;09/10/1950;Feminino;Libra;Teresinha Brenda Sarah;Gustavo Nicolas Kaue Corte Real;alice_cortereal@yahool.com.br;RQuGtgPZpW;79641-360;Rua Palmeira Real;990;Recanto das Palmeiras;Tres Lagoas;MS;(67) 2965-2442;(67) 99435-6629;1,66;90;O-;roxo
Alicia Lara Elaine Martins;65;671.129.515-34;40.683.729-6;27/01/1959;Feminino;Aquario;Antonia Fatima;Osvaldo Ricardo Martins;alicia-martins91@igly.com.br;A7KGSsbt4z;57083-410;Avenida Menino Marcelo;882;Antares;Maceio;AL;(82) 2716-1012;(82) 99906-1261;1,74;67;B+;azul
Alicia Rosangela Eduarda Almeida;27;328.707.613-25;21.871.146-3;25/08/1997;Feminino;Virgem;Rosa Lara Vitoria;Carlos Renan Igor Almeida;aliciarosangelaalmeida@gmaill.com;MA2j1uXrxX;77060-328;Rua 9;838;Jardim Santa Barbara;Palmas;TO;(63) 2625-7858;(63) 98255-1420;1,5;74;O-;laranja
Allana Carolina Ester Goncalves;64;377.724.595-05;44.823.776-3;07/01/1960;Feminino;Capricornio;Nicole Lorena;Benedito Geraldo Goncalves;allanacarolinagoncalves@ativacofres.com.br;7ClMGKThHX;83327-067;Rua Antidio Batista de Souza;664;Alphaville Graciosa;Pinhais;PR;(41) 3574-1255;(41) 99861-0942;1,74;57;AB+;vermelho
Analu Esther Gomes;38;003.084.567-00;26.972.688-3;03/06/1986;Feminino;Gemeos;Yasmin Cristiane Olivia;Levi Guilherme Caleb Gomes;analu-gomes79@caej.com.br;QF4pGiTuld;81020-390;Rua das Andorinhas;901;Novo Mundo;Curitiba;PR;(41) 2544-3172;(41) 99971-4889;1,84;75;AB-;vermelho
Analu Marina Pereira;80;002.612.399-10;20.437.977-5;08/07/1944;Feminino;Cancer;Debora Alicia Catarina;Nathan Luan Caue Pereira;analumarinapereira@techdomus.com.br;F4RXgH75DE;37044-510;Rua Poeta Edgard de Brito;523;Vila Maria;Varginha;MG;(35) 2847-8253;(35) 99402-9326;1,85;52;B-;amarelo
Anderson Bruno Jesus;21;897.426.907-40;14.628.333-8;25/04/2003;Masculino;Touro;Vanessa Manuela;Ruan Jose Jesus;anderson-jesus86@ctfmgacc.org.br;IQIMi7OuMC;09271-770;Rua Antonio Sebastiao Esquarize;688;Jardim Rina;Santo Andre;SP;(11) 3927-4498;(11) 99298-3789;1,61;95;B+;amarelo
Andreia Flavia Novaes;40;590.368.775-04;40.834.895-1;20/06/1984;Feminino;Gemeos;Marina Luna Heloise;Filipe Mario Thiago Novaes;andreia-novaes85@fingrs.com.br;hygLNjJ8ws;69402-244;Rua Rio Jamari;929;Morada do Sol;Manacapuru;AM;(92) 3988-7239;(92) 98414-7072;1,65;59;O-;roxo
Andreia Rayssa Peixoto;68;095.681.314-34;19.321.237-7;23/05/1956;Feminino;Gemeos;Isadora Pietra Andrea;Kaique Caue Peixoto;andreiarayssapeixoto@fredericodiniz.com;kIDUgKmMdg;12223-790;Rua Tobago;861;Cidade Vista Verde;Sao Jose dos Campos;SP;(12) 2934-6023;(12) 98719-6462;1,6;57;AB-;preto
Anthony Roberto Nunes;60;863.460.375-01;11.931.721-7;26/05/1964;Masculino;Gemeos;Priscila Aparecida;Breno Luan Nunes;anthony_roberto_nunes@dglnet.com.br;fYH4o4UCrT;69901-731;Rua Sao Raimundo Nonato;259;Vitoria;Rio Branco;AC;(68) 2630-0082;(68) 98787-6220;1,73;109;AB+;vermelho
Antonella Cecilia Isis Alves;63;199.682.249-79;21.564.128-0;17/08/1961;Feminino;Leao;Carla Eduarda Lara;Roberto Fernando Alves;antonellaceciliaalves@runup.com.br;Z2qTFn2wKk;89223-510;Rua Vanderlei Raul Richs;427;Jardim Sofia;Joinville;SC;(47) 2804-2973;(47) 98282-9093;1,72;84;A+;vermelho
Antonella Juliana Caldeira;34;862.771.629-34;38.186.118-1;11/06/1990;Feminino;Gemeos;Eduarda Tereza;Edson Rafael Luiz Caldeira;antonellajulianacaldeira@huios.com.br;KE5jPywIJL;49065-510;Travessa C;900;Industrial;Aracaju;SE;(79) 2655-5395;(79) 99997-9936;1,72;80;O-;preto
Antonella Leticia Aparicio;62;606.063.929-12;37.557.771-3;21/02/1962;Feminino;Peixes;Eloa Patricia Yasmin;Samuel Marcos Aparicio;antonella.leticia.aparicio@hotmail.com.br;u7nKcwXEFi;63909-035;Rua Raimundo Garrido da Nobrega;680;Jardim dos Monolitos;Quixada;CE;(88) 2791-7450;(88) 99405-5152;1,64;69;O-;vermelho
Antonella Stefany da Mota;26;610.871.583-97;34.923.320-2;19/01/1998;Feminino;Capricornio;Elaine Marlene Pietra;Hugo Gael da Mota;antonellastefanydamota@vbrasildigital.net;w7NAjU1yFf;77815-844;Rua Purpura;494;Loteamento Vila Azul;Araguaina;TO;(63) 3596-5086;(63) 98867-0232;1,84;48;AB+;laranja
Antonia Luiza Moraes;63;299.674.402-01;38.438.257-5;07/06/1961;Feminino;Gemeos;Mariane Daiane Lorena;Tiago Rodrigo Guilherme Moraes;antonia.luiza.moraes@companyvivo.com.br;WO3yFfWNbk;89291-630;Rua Boanerges Costa Santos;861;Serra Alta;Sao Bento do Sul;SC;(47) 2973-7256;(47) 98460-5843;1,53;73;B+;azul
Aparecida Claudia Alana Assis;29;809.398.812-25;16.664.618-0;24/05/1995;Feminino;Gemeos;Catarina Sonia;Yago Carlos Eduardo Assis;aparecidaclaudiaassis@soelegancia.com.br;UgUNwtpFC6;26099-185;Caminho do Castelo;889;Jaceruba;Nova Iguacu;RJ;(21) 2900-8528;(21) 98474-0126;1,58;63;B+;amarelo
Aparecida Jaqueline da Costa;60;228.741.335-90;34.758.094-4;09/04/1964;Feminino;aries;Bianca Andreia Larissa;Emanuel Mateus Ricardo da Costa;aparecidajaquelinedacosta@infonet.com.br;MGnTzN2Di5;59625-325;Rua Manoel Bento de Sousa;120;Presidente Costa e Silva;Mossoro;RN;(84) 2811-6487;(84) 98170-5566;1,66;89;B+;azul
